,vacancy,spec_name_vac,id_empl,skill,date
14806,43559830,Менеджер отдела поставок,9187,Сантехника,19-04-2021
14807,43559830,Менеджер отдела поставок,9187,Бытовая техника,19-04-2021
14808,43559830,Менеджер отдела поставок,9187,Торговые сети,19-04-2021
14809,43560100,Старший специалист поддержки и сопровождения ит-систем,599,Инженер,19-04-2021
14810,43560100,Старший специалист поддержки и сопровождения ит-систем,599,"Поддержка, Helpdesk",19-04-2021
14811,43560211,Системный администратор,2219776,Сетевые технологии,19-04-2021
14812,43560211,Системный администратор,2219776,Системный администратор,19-04-2021
14813,43560211,Системный администратор,2219776,Интернет,19-04-2021
14814,43560348,Клиентский менеджер Сбербанк Премьер,3529,Продажа финансовых продуктов,19-04-2021
14815,43560412,Старший специалист по взысканию,3529,"Взыскание задолженности, Коллекторская деятельность",19-04-2021
14816,43560412,Старший специалист по взысканию,3529,"Взыскание задолженности, Коллекторская деятельность",19-04-2021
14817,43560412,Старший специалист по взысканию,3529,Работа с проблемными заемщиками,19-04-2021
14818,43560462,Менеджер по продажам B2B (инженерные пластики),2009,Химическая продукция,19-04-2021
14819,43560823,Специалист по подбору персонала,3565331,Рекрутмент,19-04-2021
14820,43560937,Аналитик,3177,Тестирование,19-04-2021
14821,43560937,Аналитик,3177,Управление проектами,19-04-2021
14822,43560937,Аналитик,3177,Аналитик,19-04-2021
14823,43561203,Офис-менеджер,1873872,Управляющий офисом (Оffice manager),19-04-2021
14824,43561207,Менеджер по работе с клиентами (г. Похвистнево),2245,Агент,19-04-2021
14825,43561207,Менеджер по работе с клиентами (г. Похвистнево),2245,Менеджер по работе с клиентами,19-04-2021
14826,43561207,Менеджер по работе с клиентами (г. Похвистнево),2245,"Начальный уровень, Мало опыта",19-04-2021
14827,43561207,Менеджер по работе с клиентами (г. Похвистнево),2245,Продажи,19-04-2021
14828,43561207,Менеджер по работе с клиентами (г. Похвистнево),2245,Консультирование,19-04-2021
14829,43561207,Менеджер по работе с клиентами (г. Похвистнево),2245,Страхование,19-04-2021
14830,43561215,Специалист по региональному маркетингу,49357,"Начальный уровень, Мало опыта",19-04-2021
14831,43561215,Специалист по региональному маркетингу,49357,"Планирование, Размещение рекламы",19-04-2021
14832,43561215,Специалист по региональному маркетингу,49357,Торговый маркетинг(Trade marketing),19-04-2021
14833,43561215,Специалист по региональному маркетингу,49357,"Продвижение, Специальные мероприятия",19-04-2021
14834,43561215,Специалист по региональному маркетингу,49357,Ассистент,19-04-2021
14835,43561215,Специалист по региональному маркетингу,49357,Аналитик,19-04-2021
14836,43561275,Руководитель отдела продаж / менеджер (управляющий) филиалом компании,3095600,Мебель,19-04-2021
14837,43561275,Руководитель отдела продаж / менеджер (управляющий) филиалом компании,3095600,Товары для бизнеса,19-04-2021
14838,43561275,Руководитель отдела продаж / менеджер (управляющий) филиалом компании,3095600,Другое,19-04-2021
14839,43561275,Руководитель отдела продаж / менеджер (управляющий) филиалом компании,3095600,Строительные материалы,19-04-2021
14840,43561275,Руководитель отдела продаж / менеджер (управляющий) филиалом компании,3095600,Прямые продажи,19-04-2021
14841,43561275,Руководитель отдела продаж / менеджер (управляющий) филиалом компании,3095600,Оптовая торговля,19-04-2021
14842,43561718,Региональный менеджер дивизиона СНГ,3114372,"FMCG, Товары народного потребления",19-04-2021
14843,43561718,Региональный менеджер дивизиона СНГ,3114372,Химическая продукция,19-04-2021
14844,43561804,Специалист по земельно-правовым отношениям,2901322,Земельное право,19-04-2021
14845,43561804,Специалист по земельно-правовым отношениям,2901322,Землеустройство,19-04-2021
14846,43561804,Специалист по земельно-правовым отношениям,2901322,Телекоммуникации,19-04-2021
